,Sold,Crypto,Set,Team,Play Category,Price,USD,SN#,Seller,Buyer,Unnamed: 0
15486,20 hours ago,2019-20 Terry Rozier,Base Set,Charlotte Hornets,3 Pointer,49.00 USD,$49.00,1361.0,KFG,Stottleplex,
15487,20 hours ago,2020-21 Draymond Green,Base Set,Golden State Warriors,Assist,7.00 USD,$7.00,2563.0,freestylers69,Napoleon,
15488,20 hours ago,2020-21 Markelle Fultz,Base Set,Orlando Magic,Jump Shot,3.00 USD,$3.00,2985.0,jelone_23,0x08f764...56b00e,
15489,20 hours ago,2020-21 Chris Paul,Base Set,Phoenix Suns,Assist,7.00 USD,$7.00,2871.0,1phat_ankle_breaker,Napoleon,
15490,20 hours ago,2020-21 Alec Burks,Base Set,New York Knicks,Assist,4.00 USD,$4.00,8938.0,Jayk,Mudshark,
15491,20 hours ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Layup,73.00 USD,$73.00,7086.0,ison,MoonMan,
15492,20 hours ago,2019-20 Mikal Bridges,Base Set,Phoenix Suns,Dunk,29.00 USD,$29.00,3223.0,0xec62de...ddedeb,Laffa93,
15493,20 hours ago,2020-21 Damian Lillard,Base Set,Portland Trail Blazers,3 Pointer,35.00 USD,$35.00,6531.0,LULU427,Tiepie001,
15494,20 hours ago,2020-21 Thanasis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,6.00 USD,$6.00,8240.0,Jinzo,Koko007,
15495,20 hours ago,2020-21 Fred VanVleet,Base Set,Toronto Raptors,3 Pointer,4.00 USD,$4.00,9028.0,Pasper,0x08f764...56b00e,
15496,20 hours ago,2020-21 LeBron James,Base Set,Los Angeles Lakers,Dunk,328.00 USD,$328.00,5316.0,Miki_king,Bfinney09,
15497,20 hours ago,2019-20 Zion Williamson,Metallic Gold LE,New Orleans Pelicans,Block,"4,799.00 USD","$4,799.00",186.0,kappes,Ablevins,
15498,20 hours ago,2020-21 Zach LaVine,Base Set,Chicago Bulls,3 Pointer,6.00 USD,$6.00,1748.0,LULU427,Mudshark,
15499,20 hours ago,2020-21 Jonas Valančiūnas,Base Set,Memphis Grizzlies,Dunk,2.00 USD,$2.00,3236.0,boujeeIHOF,themick23,
15500,20 hours ago,2020-21 LeBron James,Base Set,Los Angeles Lakers,Dunk,328.00 USD,$328.00,5316.0,Miki_king,Bfinney09,
15501,20 hours ago,2019-20 Zion Williamson,Metallic Gold LE,New Orleans Pelicans,Block,"4,799.00 USD","$4,799.00",186.0,kappes,Ablevins,
15502,20 hours ago,2020-21 Zach LaVine,Base Set,Chicago Bulls,3 Pointer,6.00 USD,$6.00,1748.0,LULU427,Mudshark,
15503,20 hours ago,2020-21 Jonas Valančiūnas,Base Set,Memphis Grizzlies,Dunk,2.00 USD,$2.00,3236.0,boujeeIHOF,themick23,
15504,20 hours ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,89.00 USD,$89.00,989.0,JoeHarris,extra_small_guava484,
15505,20 hours ago,2020-21 John Wall,Base Set,Houston Rockets,Dunk,14.00 USD,$14.00,5845.0,grantwilliamsfan,Speedy,
15506,20 hours ago,2019-20 Marvin Bagley III,Base Set,Sacramento Kings,Dunk,33.00 USD,$33.00,3728.0,ShowMeTheMoney,DeepValue,
15507,20 hours ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,6.00 USD,$6.00,6817.0,Yoms,0x08f764...56b00e,
15508,20 hours ago,2020-21 Eric Bledsoe,Base Set,New Orleans Pelicans,Block,2.00 USD,$2.00,6985.0,JBirdsDaWord,gcchaps,
15509,20 hours ago,2020-21 LeBron James,Base Set,Los Angeles Lakers,Dunk,327.00 USD,$327.00,6249.0,JayCutlersBurner,Bfinney09,
15510,20 hours ago,2020-21 Domantas Sabonis,Base Set,Indiana Pacers,Dunk,4.00 USD,$4.00,8926.0,Kobesystem,Dinko,
15511,20 hours ago,2020-21 Serge Ibaka,Base Set,LA Clippers,Dunk,3.00 USD,$3.00,989.0,meek_woodlouse7158,Ganna,
15512,20 hours ago,2020-21 Gordon Hayward,Base Set,Charlotte Hornets,Jump Shot,"1,080.00 USD","$1,080.00",8.0,Wiredsparx,BJay,
15513,20 hours ago,2020-21 Hamidou Diallo,Base Set,Oklahoma City Thunder,Dunk,7.00 USD,$7.00,3446.0,ezpz3,DeepThreePointer,
15514,20 hours ago,2020-21 Jayson Tatum,Base Set,Boston Celtics,Jump Shot,20.00 USD,$20.00,9925.0,LULU427,realDonaldTrump,
15515,20 hours ago,2019-20 Dwight Howard,Base Set,Los Angeles Lakers,Block,51.00 USD,$51.00,1330.0,NFT_life_NBA_own_it,0x56b8f3...6ea459,
15516,20 hours ago,2020-21 Andrew Wiggins,Base Set,Golden State Warriors,Layup,3.00 USD,$3.00,6201.0,spcCaptain,UNCLE_PEE,
15517,20 hours ago,2020-21 LeBron James,Base Set,Los Angeles Lakers,Dunk,325.00 USD,$325.00,5431.0,Buttermilkgene,Bfinney09,
15518,20 hours ago,2020-21 Lonnie Walker IV,Base Set,San Antonio Spurs,Dunk,2.00 USD,$2.00,10712.0,JonyB,0x1606e4...f96a7d,
15519,20 hours ago,2020-21 Carmelo Anthony,Base Set,Portland Trail Blazers,Jump Shot,9.00 USD,$9.00,10017.0,0x3350b8...547648,Tmac,
15520,20 hours ago,2020-21 Dennis Schröder,Base Set,Los Angeles Lakers,Layup,2.00 USD,$2.00,11126.0,0x32b1a4...42927c,0x875c8a...c52ad6,
15521,20 hours ago,2020-21 Kawhi Leonard,Base Set,LA Clippers,Layup,35.00 USD,$35.00,5305.0,LULU427,BlockBleeda,
15522,20 hours ago,2020-21 Will Barton,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,9554.0,Breeza,Mudshark,
15523,20 hours ago,2019-20 Paul George,Base Set,Los Angeles Clippers,Jump Shot,125.00 USD,$125.00,3113.0,RickOshay,tbsjsf,
15524,20 hours ago,2020-21 Eric Bledsoe,Base Set,New Orleans Pelicans,Block,2.00 USD,$2.00,10052.0,boujeeIHOF,0x1606e4...f96a7d,
15525,20 hours ago,NBA Top Shot (SN# 2293591),,,,11.00 USD,$11.00,,LULU427,BullXen,
15526,20 hours ago,2020-21 Donovan Mitchell,Base Set,Utah Jazz,Jump Shot,9.00 USD,$9.00,10369.0,LULU427,realDonaldTrump,
15527,20 hours ago,2020-21 Dillon Brooks,Base Set,Memphis Grizzlies,Layup,2.00 USD,$2.00,10279.0,3_or_nah,0x1606e4...f96a7d,
15528,20 hours ago,2020-21 Ish Smith,Base Set,Washington Wizards,Assist,2.00 USD,$2.00,6063.0,gucciIHOF,themick23,
15529,20 hours ago,2019-20 Andre Iguodala,The Finals,Miami Heat,Assist,152.00 USD,$152.00,395.0,ygreatness,gcchaps,
15530,20 hours ago,2020-21 Ivica Zubac,Base Set,LA Clippers,Dunk,2.00 USD,$2.00,6882.0,Speedy,0x08f764...56b00e,
15531,20 hours ago,2019-20 Kelly Olynyk,Base Set,Miami Heat,Layup,27.00 USD,$27.00,1843.0,TonkaTime,Laffa93,
15532,20 hours ago,2020-21 Ben Simmons,Base Set,Philadelphia 76ers,Dunk,10.00 USD,$10.00,3843.0,Yoms,realDonaldTrump,
15533,20 hours ago,2020-21 Markelle Fultz,Base Set,Orlando Magic,Jump Shot,2.00 USD,$2.00,6081.0,3_or_nah,0xdf47f4...814918,
15534,20 hours ago,2020-21 Joel Embiid,Base Set,Philadelphia 76ers,Jump Shot,10.00 USD,$10.00,7235.0,JonyB,Mudshark,
15535,20 hours ago,2020-21 Caris LeVert,Base Set,Brooklyn Nets,Layup,18.00 USD,$18.00,4522.0,LULU427,Bhart21,
15536,20 hours ago,2020-21 Ivica Zubac,Base Set,LA Clippers,Dunk,2.00 USD,$2.00,6906.0,Speedy,Dinko,
15537,20 hours ago,NBA Top Shot (SN# 2032177),,,,33.00 USD,$33.00,,LULU427,Airmediummic,
15538,20 hours ago,2020-21 Hamidou Diallo,Base Set,Oklahoma City Thunder,Dunk,9.00 USD,$9.00,1945.0,0xc3ee46...59b317,0x8bc848...1cbd2c,
15539,20 hours ago,2020-21 Mason Plumlee,Base Set,Detroit Pistons,Dunk,5.00 USD,$5.00,2718.0,full_send_this_schiit,Mudshark,
15540,20 hours ago,2013-14 Jrue Holiday,Run It Back,New Orleans Pelicans,Jump Shot,332.00 USD,$332.00,64.0,Lugo,keen_carrot4971,
